item_id,product_name,department_name,price,stock_quantity
1,Windsor Tuxedo,men's clothes,5460,4
2,Erdem D&G Dress,women's clothes,880,2
3,Victoria Beckham Dress,women's clothes,2550,1
4,Roland Mouret Dress,women's clothes,2390,3
5,Oscar de la Renta Floral,women's clothes,2490,11
6,D&G Gold Earrings,women's accessories,1145,9
7,D&G Printed Silk Scarf,women's accessories,235,35
8,D&G Shoulder Bag,women's accessories,2645,5
9,D&G Mini Dress,women's clothes,2395,15
10,American Eagle Choker Tee,women's clothes,11.98,53
11,American Eagle Striped Tee,women's clothes,9.98,67
12,American Eagle Tipped Polo,women's clothes,9.98,35
13,Felicity & Coco Dress,women's clothes,98,61
